cluster,count,mean_severity,max_severity,n_types,top_type,top_neighborhood,lat_center,lng_center,n_CurbRamp,n_NoCurbRamp,n_NoSidewalk,n_Obstacle,n_Other,n_SurfaceProblem,spread_m,hotspot_score
245,12,3.0,3.0,2,NoSidewalk,Roosevelt,47.72292550404867,-122.30677668253581,0,2,10,0,0,0,142.42464655682562,41.4
38,12,3.0,3.0,2,NoSidewalk,Industrial District,47.515664418538414,-122.3862698872884,0,0,11,1,0,0,171.01648489208148,41.4
999,12,3.0,3.0,2,NoCurbRamp,Harrison/Denny-Blaine,47.626176516215004,-122.28855196634929,0,8,0,0,0,4,118.14645742384342,41.4
358,13,3.0,3.0,1,NoSidewalk,Briarcliff,47.649180779090294,-122.41620107797476,0,0,13,0,0,0,126.18255615234375,39.0
433,13,3.0,3.0,1,NoSidewalk,Loyal Heights,47.6916257418119,-122.39286569448618,0,0,13,0,0,0,83.41598510742188,39.0
102,13,3.0,3.0,1,NoCurbRamp,Industrial District,47.54846103374775,-122.38499215932993,0,13,0,0,0,0,109.74795037459612,39.0
1003,12,3.1666666666666665,4.0,1,NoCurbRamp,West Woodland,47.67016760508219,-122.36862373352051,0,12,0,0,0,0,143.9666748046875,38.0
290,12,3.0833333333333335,4.0,1,NoCurbRamp,Briarcliff,47.65046787261963,-122.40539741516113,0,12,0,0,0,0,151.75048270731082,37.0
785,12,3.0,3.0,1,NoSidewalk,Loyal Heights,47.701345443725586,-122.38035329182942,0,0,12,0,0,0,103.15815321301451,36.0
447,12,3.0,3.0,1,NoCurbRamp,Stevens,47.62438360850016,-122.29789034525554,0,12,0,0,0,0,83.3332098645617,36.0
